Sat 90: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 91: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 8: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 9: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 10: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 92: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 236: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 11: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 237: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 12: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 13: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 14: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 15: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 16: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 17: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 18: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 19: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 20: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 21: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 22: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 23: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 24: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 25: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 26: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 27: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 164: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 165: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
Sat 166: tureAnomoly 1.93, x -7374.28, y 19458.07, z 0.00
